Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),,Time,northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),,Time,swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-05-02T09:00:00-07:00,2,2,17,,2018-05-02T09:08:00-07:00,9,9,9,,2018-05-02T09:08:00-07:00,25,8,0
2018-05-02T09:08:00-07:00,5,3,18,,2018-05-02T09:16:00-07:00,0,17,0,,2018-05-02T09:16:00-07:00,25,8,0
2018-05-02T09:16:00-07:00,6,3,21,,2018-05-02T09:24:00-07:00,0,0,8,,2018-05-02T09:24:00-07:00,49,8,0
2018-05-02T09:24:00-07:00,0,3,19,,2018-05-02T09:32:00-07:00,0,8,16,,2018-05-02T09:32:00-07:00,16,16,0
2018-05-02T09:32:00-07:00,4,1,16,,2018-05-02T09:40:00-07:00,0,25,25,,2018-05-02T09:40:00-07:00,24,16,0
2018-05-02T09:40:00-07:00,1,0,27,,2018-05-02T09:48:00-07:00,8,25,25,,2018-05-02T09:48:00-07:00,16,16,8
2018-05-02T09:48:00-07:00,4,0,22,,2018-05-02T09:56:00-07:00,8,8,24,,2018-05-02T09:56:00-07:00,24,31,0
2018-05-02T09:56:00-07:00,6,0,13,,2018-05-02T10:04:00-07:00,0,8,0,,2018-05-02T10:04:00-07:00,32,8,0
2018-05-02T10:04:00-07:00,0,1,13,,2018-05-02T10:12:00-07:00,8,16,0,,2018-05-02T10:12:00-07:00,38,22,0
2018-05-02T10:12:00-07:00,4,3,31,,2018-05-02T10:20:00-07:00,8,49,8,,2018-05-02T10:20:00-07:00,8,31,0
2018-05-02T10:20:00-07:00,3,0,13,,2018-05-02T10:28:00-07:00,0,8,16,,2018-05-02T10:28:00-07:00,31,23,0
2018-05-02T10:28:00-07:00,6,1,23,,2018-05-02T10:36:00-07:00,0,15,7,,2018-05-02T10:36:00-07:00,37,7,15
2018-05-02T10:36:00-07:00,4,1,32,,2018-05-02T10:44:00-07:00,0,43,18,,2018-05-02T10:44:00-07:00,12,12,0
2018-05-02T10:44:00-07:00,3,1,30,,2018-05-02T10:52:00-07:00,0,8,0,,2018-05-02T10:52:00-07:00,0,0,0
2018-05-02T10:52:00-07:00,5,0,24,,2018-05-02T11:00:00-07:00,0,32,24,,2018-05-02T11:00:00-07:00,15,0,8
2018-05-02T11:00:00-07:00,3,1,11,,2018-05-02T11:08:00-07:00,0,24,0,,2018-05-02T11:08:00-07:00,15,15,8
2018-05-02T11:08:00-07:00,5,1,20,,2018-05-02T11:16:00-07:00,0,24,0,,2018-05-02T11:16:00-07:00,38,53,0
