time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-05-03T20,5,5,41,0,17,6,27,2,2
2018-05-03T21,4,4,41,3,24,15,28,12,7
2018-05-03T22,4,4,45,0,37,11,24,15,4
2018-05-03T23,4,5,44,0,11,11,17,0,0
2018-05-04T00,5,8,52,0,19,10,29,11,0
2018-05-04T01,5,3,57,0,33,0,19,10,10
2018-05-04T02,4,12,40,0,50,25,15,15,0
2018-05-04T03,0,10,100,0,31,32,74,18,0
2018-05-04T04,4,4,74,0,28,0,65,32,0
2018-05-04T05,14,2,34,0,45,15,18,18,0
2018-05-04T06,7,3,48,0,0,16,19,6,6
2018-05-04T07,4,4,33,0,9,0,31,18,5
2018-05-04T08,5,4,37,0,31,16,26,16,4
2018-05-04T09,7,7,38,3,40,16,33,16,6
2018-05-04T10,8,6,45,10,39,8,36,30,6
2018-05-04T11,8,4,38,5,18,23,38,28,4
2018-05-04T12,8,3,38,3,51,10,38,23,6
2018-05-04T13,7,5,39,8,41,18,38,20,2
2018-05-04T14,9,2,39,11,29,19,43,30,5
2018-05-04T15,5,4,42,5,44,11,53,16,2
2018-05-04T16,4,4,35,12,37,17,37,17,5
2018-05-04T17,4,2,44,6,30,12,21,19,2
2018-05-04T18,4,3,36,3,19,6,15,18,0
2018-05-04T19,5,4,33,0,12,9,24,15,0
2018-05-04T20,4,4,35,3,15,9,24,7,6
2018-05-04T21,2,4,34,3,25,16,36,13,0
2018-05-04T22,2,5,39,0,7,0,22,9,2
2018-05-04T23,2,5,38,0,26,10,28,15,3
2018-05-05T00,4,0,40,0,41,16,25,0,10
2018-05-05T01,0,0,27,0,13,0,24,0,0
2018-05-05T02,3,9,45,0,0,21,0,12,0
2018-05-05T03,4,4,55,0,0,0,35,52,0
2018-05-05T04,14,19,65,0,33,0,19,0,0
2018-05-05T05,0,13,38,0,22,0,0,0,13
2018-05-05T06,2,3,36,0,42,32,38,12,6
2018-05-05T07,4,3,32,0,6,0,32,14,0
2018-05-05T08,5,4,51,4,13,0,23,10,0
2018-05-05T09,4,2,35,0,4,4,26,9,9
2018-05-05T10,3,4,40,0,41,10,24,12,0
2018-05-05T11,6,2,51,0,85,0,50,17,8
